0.05    10.5    23.4    11.2    45.1    32.4    29.1    0.0     0.0     0.0     52.3    0.0     71.2
0.11    11.2    22.8    10.9    44.5    31.9    28.8    1.2     1.5     1.3     51.8    5.5     70.8
0.17    12.1    22.3    10.6    44.0    31.4    28.5    2.4     3.0     2.6     51.3    11.0    70.4
0.23    12.8    21.7    10.3    43.5    30.9    28.2    3.6     4.5     3.9     50.8    16.5    70.0
0.29    13.5    21.2    10.0    43.0    30.4    27.9    4.8     6.0     5.2     50.3    22.0    69.6
0.35    14.2    20.7    9.7     42.5    29.9    27.6    6.0     7.5     6.5     49.8    27.5    69.2
0.41    14.9    20.1    9.4     42.0    29.4    27.3    7.2     9.0     7.8     49.3    33.0    68.8
0.47    15.6    19.6    9.1     41.5    28.9    27.0    8.4     10.5    9.1     48.8    38.5    68.4
2.1     16.3    19.1    8.8     41.0    28.4    26.7    9.6     12.0    10.4    48.3    44.0    68.0
4.9     17.0    18.5    8.5     40.5    27.9    26.4    10.8    13.5    11.7    47.8    49.5    67.6
